name,infrastructure_type,latitude,longitude
Government hospital,hospital,9.8404485,78.4855684
Aravindan Hospital,hospital,11.1334592,77.0340488
Vepery Hospital,hospital,13.0921812,80.2594411
Suriya Hospital,hospital,12.2524953,79.415757
Aravinda Institute of Paramedical Sciences,hospital,11.9398236,79.4873857
Koti Orthopaedic And Trauma Care Speciality Hospital,hospital,11.9395743,79.4873669
Vasan Eye care,hospital,12.9658002,80.191882
Al-Aman Hospital,hospital,10.7114837,79.5163253
Koothanallur Police Station,police,10.7161884,79.5172308
Koothanallur Government Hospital,hospital,10.7139161,79.5158723
GM Clinic,hospital,10.7133628,79.5170871
"GK X-Rays, ECG, & Computer Lab",hospital,10.7133637,79.515919
Government Veterinary Hospital,hospital,10.7114932,79.5108311
Jaws Dental Foundation,hospital,13.0929667,80.2236256
Women's Police Station,police,12.2523481,79.4163223
Police Station,police,12.2517837,79.4181292
J6 Police Station,police,12.9874599,80.2559315
Chennai Skin Foundation,hospital,13.0205681,80.2594702
AVR Pillai Hospital,hospital,8.1736296,77.4024005
Earl Hospital,hospital,8.174033,77.4028974
Joe Hospital,hospital,8.1889919,77.4008206
Joseph Daisy Hospital,hospital,8.1793516,77.4330949
Venkata rathnam Hospital,hospital,13.2772938,80.2598649
Government Hospital,hospital,12.2518509,79.4194149
P.R.G Hospital,hospital,12.2527557,79.4137576
Sukrthi Nursing Home,hospital,12.9710287,80.2082964
Mailam Police Station,police,12.1281858,79.6195761
Gunam Super Speciality Hospital,hospital,12.7295695,77.8246469
Little Flower Hospital,hospital,8.1726916,77.4258034
A.N.N Hospital,hospital,13.0405941,80.1784622
Appolo Speciality Hospital Vanagram,hospital,13.0705042,80.150612
paranji Govt Hospital,hospital,13.0995425,79.5324922
Chitlapakam Police Station,police,12.9372924,80.1379265
Tamil Nadu Fire and Rescue Services,fire_station,12.9436361,80.1335964
Karpaga Vinayaga Institute Of Medical Sciences,hospital,12.5921821,79.9129801
S-10 Police Station (Pallikaranai),police,12.9173825,80.1950805
Government Hospital,hospital,11.4904249,79.7571365
Kauvery Hospital,hospital,13.0381705,80.2573008
Perumalpuram C3 Police station,police,8.7040942,77.7319902
Dr Mohan's Diabetes Hospital,hospital,12.9255743,80.1281333
Chetpet,police,13.0706907,80.2421194
,police,11.3976327,79.6911315
Arya Vaidya Pharmacy,hospital,10.995609,76.9917076
